id,white,citizen,female,education,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,rr1,rr2,rr3,rr4,rrscale,weights,weightstrim
307,1,1,1,2,21,1,5,0,0,1,1,3,1,3,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,4,4,4,3,15,2.013149833,2.149365503
336,1,1,1,6,32,3,9,1,1,1,0,3,1,1,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,1,1,3,2,7,0.185877884,0.322093554
437,1,1,1,3,31,3,11,1,0,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,4,5,5,4,18,0.554830618,0.691046288
705,1,1,1,5,27,2,5,0,0,4,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,3,2,4,3,12,0.483947843,0.620163513
795,1,1,1,5,59,8,10,0,0,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,2,,4,2,,1.072561281,1.208776951
909,1,1,1,2,43,5,8,1,1,1,0,1,1,1,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,1,1,1,1,4,0.536711778,0.672927449
1060,1,1,1,5,32,3,3,0,0,1,0,3,1,1,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,1,2,2,1,6,0.70741716,0.84363283
1175,1,1,1,3,43,5,1,0,1,2,0,3,1,3,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,4,3,4,2,13,0.752829869,0.889045539
1203,1,1,1,5,68,10,5,0,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,2,2,4,2,10,2.470467584,2.606683254
1408,1,1,1,5,30,3,7,1,1,3,1,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,3,2,2,3,10,0.032736966,0.041488538
1409,1,1,1,2,63,9,7,1,0,1,1,1,1,5,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,4,4,3,4,15,4.290270303,3.958968505
1738,1,1,1,2,42,5,5,0,0,1,1,4,2,3,Control,1,2,6,1,3,0,1,0,1,5,3,8,3,2,4,4,4,4,16,0.376213837,0.512429507
