id,white,citizen,female,education,age,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,pid2,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,born,citizenship,lived,english,christian,respect,feel,ancestor,exclude,exclude4,wordtreat
2521,1,1,0,2,26,26,2,5,0,1,1,1,3,1,1,4,RepPat,2,7,1,3,1,1,0,1,0,4,5,9,3,2,2,4,1,4,1,4,4,1,21,1,Control
2524,1,1,0,3,21,21,1,9,0,1,3,0,7,3,2,7,RepPat,2,6,2,3,1,1,0,1,0,5,5,10,4,2,1,4,1,4,1,4,4,1,20,1,Descriptive
2525,1,1,1,5,69,69,10,6,0,0,1,0,1,1,1,1,DemPat,3,1,7,1,3,0,1,0,1,4,4,8,2,1,1,3,3,3,,4,4,,,,Control
2526,1,1,1,4,36,36,4,7,1,1,5,1,6,3,2,3,Control,1,7,1,3,1,1,0,1,0,5,4,9,3,2,4,4,4,4,4,4,4,4,32,4,Descriptive
2528,1,1,1,6,69,69,10,2,0,0,1,0,3,1,1,4,Control,1,1,7,1,3,0,1,0,1,1,4,5,1,1,4,4,4,4,4,4,3,4,31,4,Descriptive
2529,1,1,1,4,39,39,4,8,1,1,6,1,7,3,2,6,RepPat,2,7,1,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,3,3,4,1,27,3,Descriptive
2530,1,1,1,3,63,63,9,5,0,0,1,0,2,1,1,5,DemPat,3,2,6,1,3,0,1,0,1,5,4,9,3,2,4,4,4,4,4,4,4,4,32,4,Control
2531,1,1,1,4,71,71,11,9,1,0,1,0,2,1,1,6,Control,1,3,5,1,3,0,1,0,1,5,4,9,3,2,3,3,3,3,3,3,3,3,24,2,Prescriptive
2532,1,1,1,4,33,33,3,7,1,1,1,0,4,2,,4,DemPat,3,4,4,2,2,,,0,0,4,3,7,1,1,3,4,2,3,1,3,4,1,21,1,Prescriptive
2533,1,1,1,3,37,37,4,9,1,1,2,0,5,3,2,4,DemPat,3,3,5,1,3,0,1,0,1,4,3,7,1,1,2,3,3,4,1,4,3,1,21,1,Prescriptive
2535,1,1,1,1,22,22,1,5,1,1,1,1,4,2,,4,DemPat,3,5,3,3,1,1,0,1,0,4,3,7,1,1,,4,4,4,3,2,2,2,,,Descriptive
2536,1,1,1,5,78,78,11,11,0,0,1,0,5,3,2,6,RepPat,2,7,1,3,1,1,0,1,0,5,4,9,3,2,1,3,1,4,2,4,3,1,19,1,Descriptive
2537,1,1,0,4,63,63,9,3,0,0,1,1,6,3,2,5,RepPat,2,6,2,3,1,1,0,1,0,5,4,9,3,2,4,4,4,4,3,3,4,4,30,4,Prescriptive
2538,1,1,0,3,24,24,1,9,1,1,3,1,1,1,1,1,DemPat,3,1,7,1,3,0,1,0,1,4,4,8,2,1,1,1,2,2,3,3,3,3,18,1,Control
2539,1,1,1,3,21,21,1,2,0,0,1,0,7,3,2,4,DemPat,3,2,6,1,3,0,1,0,1,3,3,6,1,1,2,3,2,3,4,1,3,3,21,1,Descriptive
2540,1,1,0,5,62,62,9,7,1,0,1,0,1,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,2,1,2,4,2,3,1,4,3,1,20,1,Prescriptive
2542,1,1,0,5,50,50,7,11,1,1,1,0,6,3,2,5,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Control
2544,1,1,0,3,62,62,9,6,0,0,1,1,4,2,,6,DemPat,3,7,1,3,1,1,0,1,0,5,3,8,2,1,4,4,4,4,3,3,3,3,28,3,Descriptive
2546,1,1,1,2,18,18,1,1,0,0,5,1,1,1,1,2,Control,1,1,7,1,3,0,1,0,1,,,,,,,,,,,,,,,,
2548,1,1,0,2,24,24,1,5,0,1,5,0,1,1,1,6,DemPat,3,2,6,1,3,0,1,0,1,4,4,8,2,1,3,3,2,2,3,3,3,2,21,1,Prescriptive
2550,1,1,1,2,25,25,2,1,0,0,4,1,4,2,,7,Control,1,5,3,3,1,1,0,1,0,3,3,6,1,1,3,3,3,3,3,3,3,3,24,2,Descriptive
2551,1,1,1,2,30,30,3,8,1,1,1,1,4,2,,4,Control,1,4,4,2,2,,,0,0,5,3,8,2,1,3,4,3,4,,4,4,,,,Descriptive
2556,1,1,1,3,37,37,4,7,0,1,3,0,4,2,,4,Control,1,1,7,1,3,0,1,0,1,5,4,9,3,2,3,4,4,4,1,4,3,4,27,3,Control
2558,1,1,0,3,35,35,4,7,1,0,1,0,1,1,1,1,DemPat,3,1,7,1,3,0,1,0,1,4,3,7,1,1,1,2,2,4,1,1,3,1,15,1,Descriptive
2560,1,1,0,2,28,28,2,2,0,0,1,0,4,2,,4,DemPat,3,4,4,2,2,,,0,0,3,3,6,1,1,3,3,3,3,1,3,3,3,22,2,Control
